ID,AGENCY,PARK,PRD_DSCR,Site Type,CAT,FACILITY_ZIP,Longitude_Degree,Longitude Direction,Longitude Minute,Longitude Second,Latitude Degree,Latitude Direction,Latitude Minute,Latitude Second,Customer Zip Code,State,Country,START_DATE,END_DATE,ORD_DATE,Equipment 1,Equipment 1 QTY,# of People
1741697499,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Doroshin Bay Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,58601,ND,USA,14-Oct-14,19-Oct-14,30-Aug-14,,,2
1741697499,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Doroshin Bay Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,58601,ND,USA,14-Oct-14,19-Oct-14,30-Aug-14,,,2
1763369633,USFS,FRY MEADOWS GUARD STATION,FRYM001,CABIN NONELECTRIC,SITE,99362,117,West,49,54,45,North,47,12,97007,OR,USA,12-Oct-14,14-Oct-14,8-Oct-14,,,2
1763369633,USFS,FRY MEADOWS GUARD STATION,FRYM001,CABIN NONELECTRIC,SITE,99362,117,West,49,54,45,North,47,12,97007,OR,USA,12-Oct-14,14-Oct-14,8-Oct-14,,,2
1728481318,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Upper Ohmer Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99587,AK,USA,6-Dec-14,7-Dec-14,14-Aug-14,,,2
1728481318,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Upper Ohmer Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99587,AK,USA,6-Dec-14,7-Dec-14,14-Aug-14,,,2
1738638465,USFS,STANEY CREEK CABIN,STANEY CREEK (T13),CABIN NONELECTRIC,SITE,99921,133,West,9,9,55,North,49,14,99928,AK,USA,7-Nov-14,14-Nov-14,26-Aug-14,,,1
1738638465,USFS,STANEY CREEK CABIN,STANEY CREEK (T13),CABIN NONELECTRIC,SITE,99921,133,West,9,9,55,North,49,14,99928,AK,USA,7-Nov-14,14-Nov-14,26-Aug-14,,,1
1723404370,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Dolly Varden Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99669,AK,USA,10-Oct-14,12-Oct-14,8-Aug-14,,,3
1723404370,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Dolly Varden Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99669,AK,USA,10-Oct-14,12-Oct-14,8-Aug-14,,,3
1728465812,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Dolly Varden Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99504,AK,USA,3-Oct-14,5-Oct-14,14-Aug-14,,,2
1728465812,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Dolly Varden Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99504,AK,USA,3-Oct-14,5-Oct-14,14-Aug-14,,,2
1743407554,NPS,HUNTERS GROUP SITE,Group Site C,GROUP STANDARD NONELECTRIC,SITE,99122,118,West,18,42.85,48,North,7,28.65,99006,WA,USA,10-Oct-14,12-Oct-14,2-Sep-14,,,20
1743407554,NPS,HUNTERS GROUP SITE,Group Site C,GROUP STANDARD NONELECTRIC,SITE,99122,118,West,18,42.85,48,North,7,28.65,99006,WA,USA,10-Oct-14,12-Oct-14,2-Sep-14,,,20
1743407554,NPS,HUNTERS GROUP SITE,Group Site C,GROUP STANDARD NONELECTRIC,SITE,99122,118,West,18,42.85,48,North,7,28.65,99006,WA,USA,10-Oct-14,12-Oct-14,2-Sep-14,,,20
1743407554,NPS,HUNTERS GROUP SITE,Group Site C,GROUP STANDARD NONELECTRIC,SITE,99122,118,West,18,42.85,48,North,7,28.65,99006,WA,USA,10-Oct-14,12-Oct-14,2-Sep-14,,,20
1743407554,NPS,HUNTERS GROUP SITE,Group Site C,GROUP STANDARD NONELECTRIC,SITE,99122,118,West,18,42.85,48,North,7,28.65,99006,WA,USA,10-Oct-14,12-Oct-14,2-Sep-14,,,20
1776250027,USFS,WENATCHEE GUARD STATION,WENA,CABIN NONELECTRIC,SITE,99347,117,West,22,30,46,North,7,30,99362,WA,USA,7-Nov-14,9-Nov-14,4-Nov-14,,,2
1776250027,USFS,WENATCHEE GUARD STATION,WENA,CABIN NONELECTRIC,SITE,99347,117,West,22,30,46,North,7,30,99362,WA,USA,7-Nov-14,9-Nov-14,4-Nov-14,,,2
1713235438,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Engineer Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99611,AK,USA,11-Oct-14,12-Oct-14,29-Jul-14,,,4
1713235438,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Engineer Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99611,AK,USA,11-Oct-14,12-Oct-14,29-Jul-14,,,4
1741157087,USFS,CLEARWATER LOOKOUT CABIN,CLWL001,CABIN NONELECTRIC,SITE,99347,117,West,37,30,46,North,15,0,98031,WA,USA,14-Oct-14,17-Oct-14,29-Aug-14,,,4
1741157087,USFS,CLEARWATER LOOKOUT CABIN,CLWL001,CABIN NONELECTRIC,SITE,99347,117,West,37,30,46,North,15,0,98031,WA,USA,14-Oct-14,17-Oct-14,29-Aug-14,,,4
1753782194,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Upper Ohmer Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99672,AK,USA,6-Oct-14,7-Oct-14,19-Sep-14,,,4
1753782194,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Upper Ohmer Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99672,AK,USA,6-Oct-14,7-Oct-14,19-Sep-14,,,4
1736737406,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Upper Ohmer Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99611,AK,USA,29-Dec-14,30-Dec-14,23-Aug-14,,,4
1736737406,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Upper Ohmer Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99611,AK,USA,29-Dec-14,30-Dec-14,23-Aug-14,,,4
1728877001,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Doroshin Bay Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99611,AK,USA,11-Oct-14,14-Oct-14,15-Aug-14,,,2
1728877001,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Doroshin Bay Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99611,AK,USA,11-Oct-14,14-Oct-14,15-Aug-14,,,2
1733453629,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Kelly Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99699,AK,USA,31-Oct-14,2-Nov-14,20-Aug-14,,,4
1733453629,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Kelly Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99699,AK,USA,31-Oct-14,2-Nov-14,20-Aug-14,,,4
1719362313,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Dolly Varden Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99507,AK,USA,17-Oct-14,19-Oct-14,4-Aug-14,,,3
1719362313,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Dolly Varden Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99507,AK,USA,17-Oct-14,19-Oct-14,4-Aug-14,,,3
1740299214,USFS,STANEY CREEK CABIN,STANEY CREEK (T13),CABIN NONELECTRIC,SITE,99921,133,West,9,9,55,North,49,14,99502,AK,USA,1-Nov-14,7-Nov-14,28-Aug-14,,,4
1740299214,USFS,STANEY CREEK CABIN,STANEY CREEK (T13),CABIN NONELECTRIC,SITE,99921,133,West,9,9,55,North,49,14,99502,AK,USA,1-Nov-14,7-Nov-14,28-Aug-14,,,4
1756649069,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Engineer Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99669,AK,USA,8-Nov-14,9-Nov-14,24-Sep-14,,,4
1756649069,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Engineer Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99669,AK,USA,8-Nov-14,9-Nov-14,24-Sep-14,,,4
1765417157,USFS,MIDDLE DANGEROUS RIVER CABIN,MIDDLE DANGEROUS RIVER (Y09),CABIN NONELECTRIC,SITE,99689,139,West,5,38,59,North,24,48,99689,AK,USA,16-Oct-14,18-Oct-14,13-Oct-14,,,4
1765417157,USFS,MIDDLE DANGEROUS RIVER CABIN,MIDDLE DANGEROUS RIVER (Y09),CABIN NONELECTRIC,SITE,99689,139,West,5,38,59,North,24,48,99689,AK,USA,16-Oct-14,18-Oct-14,13-Oct-14,,,4
1763018189,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Upper Ohmer Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99504,AK,USA,21-Dec-14,23-Dec-14,7-Oct-14,,,2
